"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://lethaldemo.com/digct/","text/html; charset=UTF-8","200","OK","Indexable","","178","1.370","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/js/gravityforms.min.js?ver=2.8.18","application/javascript","200","OK","Indexable","","0","0.896","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/js/dist/scripts-theme.min.js?ver=bab19fd84843dabc070e73326d787910","application/javascript","200","OK","Indexable","","0","0.899","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.8.18","application/javascript","200","OK","Indexable","","0","0.877","",""
"https://lethaldemo.com/digct/projects/nifty-western-australia/","text/html; charset=UTF-8","200","OK","Indexable","","15","1.377","",""
"https://lethaldemo.com/digct/wp-includes/js/dist/hooks.min.js?ver=2810c76e705dd1a53b18","application/javascript","200","OK","Indexable","","0","0.290","",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-3/","text/html; charset=UTF-8","200","OK","Indexable","","21","2.404","",""
"https://lethaldemo.com/digct/geothermal-investigation/","text/html; charset=UTF-8","200","OK","Indexable","","113","1.343","",""
"https://lethaldemo.com/digct/projects/gawler-craton-south-australia/","text/html; charset=UTF-8","200","OK","Indexable","","15","1.702","",""
"https://lethaldemo.com/digct/ct-drilling/","text/html; charset=UTF-8","200","OK","Indexable","","111","2.586","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-04.jpg","image/jpeg","200","OK","Indexable","","0","0.298","",""
"https://use.typekit.net/kqq2ubw.css","text/css;charset=utf-8","200","OK","Indexable","","0","0.082","",""
"https://lethaldemo.com/digct/wp-content/themes/scdigct/assets/js/nio.init.js?ver=170601.1.0.2","application/javascript","200","OK","Indexable","","0","0.296","",""
"https://lethaldemo.com/digct/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6","application/javascript","200","OK","Indexable","","0","2.102","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-06.png","image/png","200","OK","Indexable","","0","0.290","",""
"https://lethaldemo.com/digct/water-well-cleaning/","text/html; charset=UTF-8","200","OK","Indexable","","113","0.811","",""
"https://lethaldemo.com/digct/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","0","2.303","",""
"https://lethaldemo.com/digct/sitemap/","text/html; charset=UTF-8","200","OK","Indexable","","46","0.804","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/icon-drilling-ring.png","image/png","200","OK","Indexable","","0","0.291","",""
"https://lethaldemo.com/digct/wp-content/plugins/widget-options/assets/css/widget-options.css?ver=4.0.7","text/css","200","OK","Indexable","","0","0.897","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/mineral-ex.jpg","image/jpeg","200","OK","Indexable","","0","0.882","",""
"https://lethaldemo.com/digct/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","114","3.058","",""
"https://lethaldemo.com/digct/wp-content/themes/scdigct/assets/images/logo.png","image/png","200","OK","Indexable","","0","0.313","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-05.jpg","image/jpeg","200","OK","Indexable","","0","1.270","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/slide.jpg","image/jpeg","200","OK","Indexable","","0","7.594","",""
"https://lethaldemo.com/digct/mineral-exploration-drilling-to-500m/","text/html; charset=UTF-8","200","OK","Indexable","","117","1.392","",""
"https://lethaldemo.com/digct/wp-content/plugins/page-list/css/page-list.css?ver=5.7","text/css","200","OK","Indexable","","0","0.284","",""
"https://lethaldemo.com/digct/excellence/","text/html; charset=UTF-8","200","OK","Indexable","","110","1.413","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/js/dist/utils.min.js?ver=50c7bea9c2320e16728e44ae9fde5f26","application/javascript","200","OK","Indexable","","0","0.905","",""
"https://lethaldemo.com/digct/employee-portal/","text/html; charset=UTF-8","200","OK","Indexable","","46","2.613","",""
"https://lethaldemo.com/digct/news-events/","text/html; charset=UTF-8","200","OK","Indexable","","111","1.774","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-01.jpg","image/jpeg","200","OK","Indexable","","0","0.289","",""
"https://lethaldemo.com/digct/partners-clients/","text/html; charset=UTF-8","200","OK","Indexable","","110","0.744","",""
"https://lethaldemo.com/digct/wp-content/themes/scdigct/assets/images/logo-small.png","image/png","200","OK","Indexable","","0","0.293","",""
"https://lethaldemo.com/digct/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381","application/javascript","200","OK","Indexable","","0","0.895","",""
"https://lethaldemo.com/digct/wp-content/themes/scdigct/assets/style.css?ver=170601.1.0.2","text/css","200","OK","Indexable","","0","2.285","",""
"https://lethaldemo.com/digct/wp-content/themes/scdigct/assets/js/nio.plugins.js?ver=170601.1.0.2","application/javascript","200","OK","Indexable","","0","1.031","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-01.png","image/png","200","OK","Indexable","","0","0.981","",""
"https://lethaldemo.com/digct/projects/moonera-western-australia/","text/html; charset=UTF-8","200","OK","Indexable","","15","2.128","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/intro-photo.jpg","image/jpeg","200","OK","Indexable","","0","0.306","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/js/dist/vendor-theme.min.js?ver=54e7080aa7a02c83aa61fae430b9d869","application/javascript","200","OK","Indexable","","0","0.866","",""
"https://lethaldemo.com/digct/privacy-policy/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.495","",""
"https://lethaldemo.com/digct/wp-includes/js/dist/a11y.min.js?ver=d90eebea464f6c09bfd5","application/javascript","200","OK","Indexable","","0","0.896","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-02.png","image/png","200","OK","Indexable","","0","0.906","",""
"https://lethaldemo.com/digct/grouting-program-to-500m/","text/html; charset=UTF-8","200","OK","Indexable","","113","5.336","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/blog-03.jpg","image/jpeg","200","OK","Indexable","","0","0.287","",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-5/","text/html; charset=UTF-8","200","OK","Indexable","","21","0.786","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/flags.png","image/png","200","OK","Indexable","","0","0.919","",""
"https://lethaldemo.com/digct/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2","text/css","200","OK","Indexable","","0","0.294","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/blog-02.jpg","image/jpeg","200","OK","Indexable","","0","3.959","",""
"https://lethaldemo.com/digct/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","0","0.900","",""
"https://fonts.googleapis.com/css2?family=Inter:ital,opsz,wght@0,14..32,100..900;1,14..32,100..900&family=Manrope&family=Rajdhani:wght@300;400;500;600;700&display=swap","text/css; charset=utf-8","200","OK","Indexable","","0","0.279","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-03.jpg","image/jpeg","200","OK","Indexable","","0","1.848","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-05.png","image/png","200","OK","Indexable","","0","1.782","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-02.jpg","image/jpeg","200","OK","Indexable","","0","0.893","",""
"https://lethaldemo.com/digct/construction-investigation/","text/html; charset=UTF-8","200","OK","Indexable","","113","1.290","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-03.png","image/png","200","OK","Indexable","","0","0.870","",""
"https://lethaldemo.com/digct/contact/","text/html; charset=UTF-8","200","OK","Indexable","","86","3.160","",""
"https://lethaldemo.com/digct/projects/","text/html; charset=UTF-8","200","OK","Indexable","","114","1.369","",""
"https://lethaldemo.com/digct/services/","text/html; charset=UTF-8","200","OK","Indexable","","78","2.165","",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-6/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.318","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/blog-01.jpg","image/jpeg","200","OK","Indexable","","0","0.286","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/js/placeholders.jquery.min.js?ver=2.8.18","application/javascript","200","OK","Indexable","","0","0.291","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/logo-04.png","image/png","200","OK","Indexable","","0","0.283","",""
"https://lethaldemo.com/digct/careers/","text/html; charset=UTF-8","200","OK","Indexable","","77","1.455","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-03-440x325.jpg","image/jpeg","200","OK","Indexable","","0","0.289","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/about_01.jpg","image/jpeg","200","OK","Indexable","","0","0.886","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/css/dist/theme.min.css?ver=2.8.18","text/css","200","OK","Indexable","","0","0.907","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/single-service.jpg","image/jpeg","200","OK","Indexable","","0","0.904","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/css/dist/basic.min.css?ver=2.8.18","text/css","200","OK","Indexable","","0","0.870","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/team-1.jpg","image/jpeg","200","OK","Indexable","","0","0.884","",""
"https://lethaldemo.com/digct/projects/future-planned-projects/","text/html; charset=UTF-8","200","OK","Indexable","","15","0.760","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/single-post-02.jpg","image/jpeg","200","OK","Indexable","","0","1.020","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/icon-benefit-02.png","image/png","200","OK","Indexable","","0","0.945","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-01-440x325.jpg","image/jpeg","200","OK","Indexable","","0","1.041","",""
"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d432908.07681207696!2d115.63189651745836!3d-32.0396375162037!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2a32966cdb47733d%3A0x304f0b535df55d0!2sPerth%20WA%2C%20Australia!5e0!3m2!1sen!2sbd!4v1726293860078!5m2!1sen!2sbd","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","0","","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/css/dist/theme-components.min.css?ver=2.8.18","text/css","200","OK","Indexable","","0","0.914","",""
"https://lethaldemo.com/digct/wp-content/plugins/gravityforms/assets/css/dist/theme-ie11.min.css?ver=2.8.18","text/css","200","OK","Indexable","","0","0.888","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/team-2.jpg","image/jpeg","200","OK","Indexable","","0","0.419","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/map.jpg","image/jpeg","200","OK","Indexable","","0","0.866","",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-3/","text/html; charset=UTF-8","200","OK","Indexable","","19","1.572","",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-2/","text/html; charset=UTF-8","200","OK","Indexable","","19","3.067","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/icon-benefit-01.png","image/png","200","OK","Indexable","","0","0.295","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/ceo.jpg","image/jpeg","200","OK","Indexable","","0","0.305","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/sign.png","image/png","200","OK","Indexable","","0","0.870","",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-4/","text/html; charset=UTF-8","200","OK","Indexable","","19","1.660","",""
"https://lethaldemo.com/digct/news-events/page/2/","text/html; charset=UTF-8","200","OK","Indexable","","15","1.509","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/single-post-01.jpg","image/jpeg","200","OK","Indexable","","0","0.890","",""
"https://lethaldemo.com/digct/wp-content/uploads/2024/09/service-05-440x325.jpg","image/jpeg","200","OK","Indexable","","0","0.898","",""
"https://lethaldemo.com/digct/news-events/page/1/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","2","0.740","https://lethaldemo.com/digct/news-events/","HTTP Redirect"
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments/","text/html; charset=UTF-8","200","OK","Indexable","","19","0.822","",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update/","text/html; charset=UTF-8","200","OK","Indexable","","18","1.400","",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-2/","text/html; charset=UTF-8","200","OK","Indexable","","19","2.432","",""
